dataset,method,k1,b,use_stemming,mean_ndcg@100,n_queries
hotpotqa,lucene,1.6,0.6,False,0.625366,7405
hotpotqa,lucene,1.2,0.75,True,0.624633,7405
hotpotqa,lucene,0.6,1.0,False,0.618952,7405
hotpotqa,lucene,0.9,0.9,True,0.618699,7405
hotpotqa,lucene,1.2,0.75,False,0.61773,7405
hotpotqa,lucene,2.0,0.6,True,0.61769,7405
hotpotqa,lucene,0.8,0.9,False,0.617282,7405
hotpotqa,lucene,2.0,0.6,False,0.612669,7405
hotpotqa,lucene,1.0,0.9,True,0.611115,7405
hotpotqa,lucene,0.9,0.9,False,0.610668,7405
hotpotqa,lucene,0.8,1.0,True,0.610605,7405
hotpotqa,lucene,1.6,0.75,True,0.604641,7405
hotpotqa,lucene,1.0,0.9,False,0.603776,7405
hotpotqa,lucene,0.8,1.0,False,0.602087,7405
hotpotqa,lucene,0.9,1.0,True,0.601132,7405
hotpotqa,lucene,1.6,0.75,False,0.598508,7405
hotpotqa,lucene,1.2,0.9,True,0.596892,7405
hotpotqa,lucene,0.9,1.0,False,0.592713,7405
hotpotqa,lucene,1.0,1.0,True,0.591994,7405
hotpotqa,lucene,1.2,0.9,False,0.589222,7405
hotpotqa,lucene,2.0,0.75,True,0.585693,7405
hotpotqa,lucene,1.0,1.0,False,0.583431,7405
hotpotqa,lucene,2.0,0.75,False,0.580119,7405
hotpotqa,lucene,1.2,1.0,True,0.572802,7405
hotpotqa,lucene,1.6,0.9,True,0.56775,7405
hotpotqa,lucene,1.2,1.0,False,0.565728,7405
hotpotqa,lucene,1.6,0.9,False,0.562057,7405
hotpotqa,lucene,2.0,0.9,True,0.541421,7405
hotpotqa,lucene,2.0,0.9,False,0.536769,7405
hotpotqa,lucene,1.6,1.0,True,0.536595,7405
hotpotqa,lucene,1.6,1.0,False,0.531869,7405
hotpotqa,lucene,2.0,1.0,True,0.504996,7405
hotpotqa,lucene,2.0,1.0,False,0.501058,7405
