n_features,dropped,cost,dev_ndcg,features,tied_with_best,chosen
21,norm_margin_dense,scores,0.6973851919174194,query_centroid_cos|margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_sigma_k,True,False
20,robust_sigma_dense,scores,0.6973851919174194,query_centroid_cos|margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_sigma_k,True,False
19,d_zscore_top,scores,0.6973851919174194,query_centroid_cos|margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_zscore_margin|d_entropy|d_sigma_k,True,False
18,d_zscore_margin,scores,0.6973851919174194,query_centroid_cos|margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_entropy|d_sigma_k,True,False
17,d_sigma_k,lookup,0.6973851919174194,query_centroid_cos|margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_entropy,True,False
16,d_entropy,lookup,0.6973724961280823,query_centroid_cos|margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau,True,False
15,smv_bm25,scores,0.6973469257354736,query_centroid_cos|margin_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau,True,False
14,zscore_margin_dense,lookup,0.6972460150718689,query_centroid_cos|margin_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|entropy_dense|zscore_top_dense|autocorr_dense|apair_ratio_dense|kendall_tau,False,False
13,apair_ratio_dense,embed,0.6971338391304016,query_centroid_cos|margin_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|entropy_dense|zscore_top_dense|autocorr_dense|kendall_tau,True,False
12,robust_sigma_bm25,scores,0.6969812512397766,query_centroid_cos|margin_bm25|entropy_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|entropy_dense|zscore_top_dense|autocorr_dense|kendall_tau,True,False
11,entropy_dense,scores,0.6970634460449219,query_centroid_cos|margin_bm25|entropy_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|zscore_top_dense|autocorr_dense|kendall_tau,True,False
10,kendall_tau,scores,0.6966713666915894,query_centroid_cos|margin_bm25|entropy_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|zscore_top_dense|autocorr_dense,True,False
9,autocorr_dense,embed,0.6969439387321472,query_centroid_cos|margin_bm25|entropy_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|smv_dense|zscore_top_dense,True,False
8,apair_ratio_bm25,embed,0.6969425082206726,query_centroid_cos|margin_bm25|entropy_bm25|zscore_top_bm25|zscore_margin_bm25|top_score_dense|smv_dense|zscore_top_dense,True,False
7,zscore_top_dense,lookup,0.6966062784194946,query_centroid_cos|margin_bm25|entropy_bm25|zscore_top_bm25|zscore_margin_bm25|top_score_dense|smv_dense,True,False
6,query_centroid_cos,embed,0.6962170600891113,margin_bm25|entropy_bm25|zscore_top_bm25|zscore_margin_bm25|top_score_dense|smv_dense,False,False
5,zscore_margin_bm25,lookup,0.6956694722175598,margin_bm25|entropy_bm25|zscore_top_bm25|top_score_dense|smv_dense,False,False
4,top_score_dense,scores,0.6960858702659607,margin_bm25|entropy_bm25|zscore_top_bm25|smv_dense,True,False
3,zscore_top_bm25,lookup,0.6962177753448486,margin_bm25|entropy_bm25|smv_dense,True,True
